//
// Structure of Database:
// GroupID,ItemID,Rate
//
// Cookie Bag
IG_CookieBag,529,5		// 糖果
IG_CookieBag,530,5		// 拐杖糖
IG_CookieBag,538,5		// 姜饼
IG_CookieBag,539,5		// 小蛋糕
IG_CookieBag,558,1		// 巧克力
IG_CookieBag,559,1		// 手工巧克力
IG_CookieBag,560,1		// 手工巧克力
IG_CookieBag,561,1		// 白色情人巧克力
IG_CookieBag,564,5		// 肉粽
IG_CookieBag,570,5		// 红色吉祥糖果
IG_CookieBag,571,5		// 幸运的拐杖糖
IG_CookieBag,572,5		// 幸运的姜饼
IG_CookieBag,573,1		// 巧克力饮料
IG_CookieBag,12122,1	// 茶食
IG_CookieBag,12123,1	// 油果
IG_CookieBag,12124,1	// 彩色糕饼
// First Aid Kit
IG_FirstAid,501,5		// 红色药水
IG_FirstAid,502,5		// 赤色药水
IG_FirstAid,503,5		// 黄色药水
IG_FirstAid,504,5		// 白色药水
IG_FirstAid,505,5		// 蓝色药水
IG_FirstAid,506,5		// 绿色药水
IG_FirstAid,545,5		// 红色纤细药水
IG_FirstAid,546,5		// 黄色纤细药水
IG_FirstAid,547,5		// 白色纤细药水
IG_FirstAid,569,5		// 初学者专用药水
IG_FirstAid,605,5		// 曼特疗伤药
IG_FirstAid,645,5		// 集中药水
IG_FirstAid,656,5		// 觉醒药水
IG_FirstAid,657,5		// 菠色克药水
IG_FirstAid,678,1		// 毒药瓶
IG_FirstAid,12016,5	// 移速变化药水
IG_FirstAid,12017,5	// 移速变化药水
IG_FirstAid,12020,5	// 暗水
// Herbs
IG_Herb,507,1		// 红色药草
IG_Herb,508,1		// 黄色药草
IG_Herb,509,1		// 白色药草
// Fruits
IG_Fruit,512,1	// 苹果
IG_Fruit,513,1	// 香蕉
IG_Fruit,514,1	// 葡萄
IG_Fruit,515,1	// 红萝卜
IG_Fruit,516,1	// 番薯
// Meat
IG_Meat,517,1	// 肉
IG_Meat,528,1	// 魔物饲料
// Candy
IG_Candy,529,1	// 糖果
IG_Candy,530,1	// 拐杖糖
// Juice
IG_Juice,531,1	// 苹果汁
IG_Juice,532,1	// 香蕉汁
IG_Juice,534,1	// 红萝卜汁
// Fish
IG_Fish,544,1	// 生鱼片
IG_Fish,551,1	// 明虾寿司
// Boxes
IG_Box,603,1	// 神秘箱子
IG_Box,617,1	// 神秘紫箱
IG_Box,644,1	// 礼物箱
// Gemstones
IG_Gemstone,715,1	// 黄色魔力矿石
IG_Gemstone,716,1	// 红色魔力矿石
IG_Gemstone,717,1	// 蓝色魔力矿石
// Elemental Resist Potions
IG_Resist,12118,1	// 火属性抵抗药水
IG_Resist,12119,1	// 水属性抵抗药水
IG_Resist,12120,1	// 地属性抵抗药水
IG_Resist,12121,1	// 风属性抵抗药水
// Ores
IG_Ore,1002,30	// 铁矿石
IG_Ore,998,28	// 铁
IG_Ore,993,26	// 地灵矿石
IG_Ore,1003,24	// 煤矿
IG_Ore,992,22	// 风灵矿石
IG_Ore,1010,20	// 强化武器金属-级数一
IG_Ore,991,18	// 水灵矿石
IG_Ore,990,16	// 火灵矿石
IG_Ore,999,14	// 钢铁
IG_Ore,1011,12	// 强化武器金属-级数二
IG_Ore,757,10	// 铝原石
IG_Ore,756,9	// 神之金属原石
IG_Ore,997,8	// 土灵原石
IG_Ore,996,7	// 风灵原石
IG_Ore,995,6	// 水灵原石
IG_Ore,994,5	// 火灵原石
IG_Ore,985,4	// 铝
IG_Ore,984,3	// 神之金属
IG_Ore,969,2	// 黄金
IG_Ore,714,1	// 华丽金属
// Food Types
IG_Food,526,5	// 蜂胶
IG_Food,12042,10	// 凉拌蛙蹼
IG_Food,12057,10	// 口感滑爽的面
IG_Food,12053,10	// 蛤蜊汤
IG_Food,12062,10	// 巧克力奶油蛋糕
IG_Food,12068,10	// 番薯饼
IG_Food,12047,10	// 万叶红茶
IG_Food,531,30	// 苹果汁
IG_Food,532,30	// 香蕉汁
IG_Food,533,30	// 葡萄汁
IG_Food,534,30	// 红萝卜汁
IG_Food,538,30	// 姜饼
IG_Food,536,50	// 冰淇淋
IG_Food,544,50	// 生鱼片
IG_Food,548,50	// 吉士
IG_Food,551,50	// 明虾寿司
IG_Food,553,50	// 包子
IG_Food,554,50	// 甜米糕
IG_Food,535,50	// 南瓜
IG_Food,516,100	// 番薯
IG_Food,513,100	// 香蕉
IG_Food,512,600	// 苹果
// Recovery Types
IG_Recovery,522,5	// 玛丝黛拉果实
IG_Recovery,521,5	// 芦荟叶子
IG_Recovery,520,10	// 西纳雷叶子
IG_Recovery,545,10	// 红色纤细药水
IG_Recovery,12118,10	// 火属性抵抗药水
IG_Recovery,508,20	// 黄色药草
IG_Recovery,501,20	// 红色药水
IG_Recovery,511,30	// 绿色药草
IG_Recovery,507,30	// 红色药草
IG_Recovery,569,50	// 初学者专用药水
IG_Recovery,549,50	// 美味番薯
IG_Recovery,529,100	// 糖果
IG_Recovery,528,200	// 魔物饲料
IG_Recovery,550,600	// 仙贝
// Minerals - Unused
IG_Mineral,714,1	// 华丽金属
IG_Mineral,756,1	// 神之金属原石
IG_Mineral,757,1	// 铝原石
IG_Mineral,969,1	// 黄金
IG_Mineral,984,1	// 神之金属
IG_Mineral,985,1	// 铝
IG_Mineral,990,1	// 火灵矿石
IG_Mineral,991,1	// 水灵矿石
IG_Mineral,992,1	// 风灵矿石
IG_Mineral,993,1	// 地灵矿石
IG_Mineral,994,1	// 火灵原石
IG_Mineral,995,1	// 水灵原石
IG_Mineral,996,1	// 风灵原石
IG_Mineral,997,1	// 土灵原石
IG_Mineral,998,1	// 铁
IG_Mineral,999,1	// 钢铁
IG_Mineral,1002,1	// 铁矿石
IG_Mineral,1003,1	// 煤矿
IG_Mineral,1010,1	// 强化武器金属-级数一
IG_Mineral,1011,1	// 强化武器金属-级数二
// Set Of Taiming Item
IG_Taming,619,1	// 青苹果
IG_Taming,620,1	// 浓缩柳橙汁
IG_Taming,621,1	// 苦味草
IG_Taming,622,1	// 彩色红萝卜
IG_Taming,623,1	// 变态蚯蚓
IG_Taming,624,1	// 腐臭之鱼
IG_Taming,625,1	// 锈铁
IG_Taming,626,1	// 魔物饮料
IG_Taming,627,1	// 魔物牛奶
IG_Taming,628,1	// 营养大骨
IG_Taming,629,1	// 呢喃花
IG_Taming,630,1	// 青苔
IG_Taming,631,1	// 青嫩毒草
IG_Taming,632,1	// 营养蚯蚓
IG_Taming,633,1	// 魔物番薯
IG_Taming,634,1	// 魔物香蕉
IG_Taming,635,1	// 魔物之证
IG_Taming,636,1	// 魔物信件
IG_Taming,637,1	// 魔物扫把
IG_Taming,638,1	// 纯洁银刃
IG_Taming,639,1	// 驯服手镯
IG_Taming,640,1	// 闪烁之石
IG_Taming,641,1	// 黑暗合约书
IG_Taming,642,1	// 恶魔召唤书
IG_Taming,659,1	// 心爱女人之回忆
IG_Taming,660,1	// 红色蜡烛
IG_Taming,661,1	// 摇曳的围裙
IG_Taming,10001,1	// 牛角骨盔
