// Old Violet Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_VioletBox,501,14	// 红色药水
IG_VioletBox,502,14	// 赤色药水
IG_VioletBox,503,14	// 黄色药水
IG_VioletBox,504,14	// 白色药水
IG_VioletBox,505,14	// 蓝色药水
IG_VioletBox,506,14	// 绿色药水
IG_VioletBox,507,14	// 红色药草
IG_VioletBox,508,14	// 黄色药草
IG_VioletBox,509,14	// 白色药草
IG_VioletBox,510,14	// 蓝色药草
IG_VioletBox,511,14	// 绿色药草
IG_VioletBox,512,14	// 苹果
IG_VioletBox,513,14	// 香蕉
IG_VioletBox,514,14	// 葡萄
IG_VioletBox,515,14	// 红萝卜
IG_VioletBox,516,14	// 番薯
IG_VioletBox,517,14	// 肉
IG_VioletBox,518,14	// 蜂蜜
IG_VioletBox,519,14	// 牛奶
IG_VioletBox,520,14	// 西纳雷叶子
IG_VioletBox,521,14	// 芦荟叶子
IG_VioletBox,522,14	// 玛丝黛拉果实
IG_VioletBox,523,14	// 圣水
IG_VioletBox,525,14	// 万能药
IG_VioletBox,526,14	// 蜂胶
IG_VioletBox,528,14	// 魔物饲料
IG_VioletBox,529,14	// 糖果
IG_VioletBox,530,14	// 拐杖糖
IG_VioletBox,531,14	// 苹果汁
IG_VioletBox,532,14	// 香蕉汁
IG_VioletBox,533,14	// 葡萄汁
IG_VioletBox,534,14	// 红萝卜汁
IG_VioletBox,535,14	// 南瓜
IG_VioletBox,536,14	// 冰淇淋
IG_VioletBox,537,14	// 宠物饲料
IG_VioletBox,538,14	// 姜饼
IG_VioletBox,539,14	// 小蛋糕
IG_VioletBox,544,14	// 生鱼片
IG_VioletBox,545,14	// 红色纤细药水
IG_VioletBox,546,14	// 黄色纤细药水
IG_VioletBox,547,14	// 白色纤细药水
IG_VioletBox,548,14	// 吉士
IG_VioletBox,549,14	// 美味番薯
IG_VioletBox,550,14	// 仙贝
IG_VioletBox,551,14	// 明虾寿司
IG_VioletBox,553,14	// 包子
IG_VioletBox,555,14	// 糕饼
IG_VioletBox,558,14	// 巧克力
IG_VioletBox,561,14	// 白色情人巧克力
IG_VioletBox,601,14	// 苍蝇翅膀
IG_VioletBox,602,14	// 蝴蝶翅膀
IG_VioletBox,604,214	// 枯树枝
IG_VioletBox,605,14	// 曼特疗伤药
IG_VioletBox,606,14	// 芦荟汁液
IG_VioletBox,607,14	// 天地树果实
IG_VioletBox,608,14	// 天地树芽
IG_VioletBox,609,14	// 返魂符
IG_VioletBox,610,14	// 天地树叶子
IG_VioletBox,611,14	// 放大镜
IG_VioletBox,612,14	// 携带用熔矿炉
IG_VioletBox,613,14	// 钢铁锤子
IG_VioletBox,614,14	// 黄金锤子
IG_VioletBox,615,14	// 神之金属锤子
IG_VioletBox,616,1		// 老旧收集册
IG_VioletBox,617,103	// 神秘紫箱
IG_VioletBox,618,14	// 老旧卷轴
IG_VioletBox,619,14	// 青苹果
IG_VioletBox,620,14	// 浓缩柳橙汁
IG_VioletBox,621,14	// 苦味草
IG_VioletBox,622,14	// 彩色红萝卜
IG_VioletBox,623,14	// 变态蚯蚓
IG_VioletBox,624,14	// 腐臭之鱼
IG_VioletBox,625,14	// 锈铁
IG_VioletBox,626,14	// 魔物饮料
IG_VioletBox,627,14	// 魔物牛奶
IG_VioletBox,628,14	// 营养大骨
IG_VioletBox,629,14	// 呢喃花
IG_VioletBox,630,14	// 青苔
IG_VioletBox,631,14	// 青嫩毒草
IG_VioletBox,632,14	// 营养蚯蚓
IG_VioletBox,633,14	// 魔物番薯
IG_VioletBox,634,14	// 魔物香蕉
IG_VioletBox,635,14	// 魔物之证
IG_VioletBox,636,14	// 魔物信件
IG_VioletBox,637,14	// 魔物扫把
IG_VioletBox,638,14	// 纯洁银刃
IG_VioletBox,639,14	// 驯服手镯
IG_VioletBox,640,14	// 闪烁之石
IG_VioletBox,641,14	// 黑暗合约书
IG_VioletBox,642,14	// 恶魔召唤书
IG_VioletBox,643,14	// 携带用孵蛋器
IG_VioletBox,644,114	// 礼物箱
IG_VioletBox,645,14	// 集中药水
IG_VioletBox,656,14	// 觉醒药水
IG_VioletBox,657,14	// 菠色克药水
IG_VioletBox,659,14	// 心爱女人之回忆
IG_VioletBox,663,14	// 年糕
IG_VioletBox,664,14	// 礼盒
IG_VioletBox,665,14	// 礼盒
IG_VioletBox,666,14	// 礼盒
IG_VioletBox,667,14	// 礼盒
IG_VioletBox,668,14	// 红包
IG_VioletBox,678,14	// 毒药瓶
IG_VioletBox,679,14	// 召还丹
IG_VioletBox,701,14	// 欧拉欧拉
IG_VioletBox,702,14	// 家畜血
IG_VioletBox,703,14	// 西纳雷花
IG_VioletBox,704,14	// 芦荟
IG_VioletBox,705,14	// 三叶幸运草
IG_VioletBox,706,14	// 四叶幸运草
IG_VioletBox,707,14	// 哀唱草
IG_VioletBox,708,14	// 曼特花
IG_VioletBox,710,14	// 幻想花
IG_VioletBox,711,14	// 芽苗
IG_VioletBox,712,14	// 花
IG_VioletBox,713,14	// 空瓶
IG_VioletBox,715,14	// 黄色魔力矿石
IG_VioletBox,716,14	// 红色魔力矿石
IG_VioletBox,717,14	// 蓝色魔力矿石
IG_VioletBox,718,14	// 深红宝石
IG_VioletBox,719,14	// 紫宝石
IG_VioletBox,720,14	// 天蓝宝石
IG_VioletBox,721,14	// 绿宝石
IG_VioletBox,722,14	// 珍珠
IG_VioletBox,723,14	// 红宝石
IG_VioletBox,724,14	// 诅咒红宝石
IG_VioletBox,725,14	// 大红宝石
IG_VioletBox,726,14	// 蓝宝石
IG_VioletBox,727,14	// 白宝石
IG_VioletBox,728,14	// 黄宝石
IG_VioletBox,729,14	// 青绿宝石
IG_VioletBox,730,14	// 1克拉钻石
IG_VioletBox,731,14	// 2克拉钻石
IG_VioletBox,732,14	// 3克拉钻石
IG_VioletBox,733,14	// 受损的钻石
IG_VioletBox,734,14	// 红色相框
IG_VioletBox,735,14	// 蓝色陶瓷器
IG_VioletBox,736,14	// 白色盘子
IG_VioletBox,737,14	// 黑色杓子
IG_VioletBox,738,14	// 笔筒
IG_VioletBox,739,14	// 化妆品
IG_VioletBox,740,14	// 疯兔娃娃
IG_VioletBox,741,14	// 波利娃娃
IG_VioletBox,742,14	// 苍蝇娃娃
