// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// 红色药水
IG_BlueBox,502,12	// 赤色药水
IG_BlueBox,503,12	// 黄色药水
IG_BlueBox,504,12	// 白色药水
IG_BlueBox,505,12	// 蓝色药水
IG_BlueBox,506,12	// 绿色药水
IG_BlueBox,507,12	// 红色药草
IG_BlueBox,508,12	// 黄色药草
IG_BlueBox,509,12	// 白色药草
IG_BlueBox,510,12	// 蓝色药草
IG_BlueBox,511,12	// 绿色药草
IG_BlueBox,512,12	// 苹果
IG_BlueBox,513,12	// 香蕉
IG_BlueBox,514,12	// 葡萄
IG_BlueBox,515,12	// 红萝卜
IG_BlueBox,516,12	// 番薯
IG_BlueBox,517,12	// 肉
IG_BlueBox,518,12	// 蜂蜜
IG_BlueBox,519,12	// 牛奶
IG_BlueBox,520,12	// 西纳雷叶子
IG_BlueBox,521,12	// 芦荟叶子
IG_BlueBox,522,12	// 玛丝黛拉果实
IG_BlueBox,523,12	// 圣水
IG_BlueBox,525,12	// 万能药
IG_BlueBox,526,12	// 蜂胶
IG_BlueBox,528,12	// 魔物饲料
IG_BlueBox,529,12	// 糖果
IG_BlueBox,530,12	// 拐杖糖
IG_BlueBox,531,12	// 苹果汁
IG_BlueBox,532,12	// 香蕉汁
IG_BlueBox,533,12	// 葡萄汁
IG_BlueBox,534,12	// 红萝卜汁
IG_BlueBox,535,12	// 南瓜
IG_BlueBox,536,12	// 冰淇淋
IG_BlueBox,537,12	// 宠物饲料
IG_BlueBox,538,12	// 姜饼
IG_BlueBox,539,12	// 小蛋糕
IG_BlueBox,544,12	// 生鱼片
IG_BlueBox,545,12	// 红色纤细药水
IG_BlueBox,546,12	// 黄色纤细药水
IG_BlueBox,547,12	// 白色纤细药水
IG_BlueBox,548,12	// 吉士
IG_BlueBox,549,12	// 美味番薯
IG_BlueBox,550,12	// 仙贝
IG_BlueBox,551,12	// 明虾寿司
IG_BlueBox,553,12	// 包子
IG_BlueBox,555,12	// 糕饼
IG_BlueBox,558,12	// 巧克力
IG_BlueBox,561,12	// 白色情人巧克力
IG_BlueBox,601,12	// 苍蝇翅膀
IG_BlueBox,602,12	// 蝴蝶翅膀
IG_BlueBox,604,512	// 枯树枝
IG_BlueBox,605,12	// 曼特疗伤药
IG_BlueBox,606,12	// 芦荟汁液
IG_BlueBox,607,12	// 天地树果实
IG_BlueBox,608,12	// 天地树芽
IG_BlueBox,609,12	// 返魂符
IG_BlueBox,610,12	// 天地树叶子
IG_BlueBox,611,12	// 放大镜
IG_BlueBox,612,12	// 携带用熔矿炉
IG_BlueBox,613,12	// 钢铁锤子
IG_BlueBox,614,12	// 黄金锤子
IG_BlueBox,615,12	// 神之金属锤子
IG_BlueBox,618,12	// 老旧卷轴
IG_BlueBox,619,12	// 青苹果
IG_BlueBox,620,12	// 浓缩柳橙汁
IG_BlueBox,621,12	// 苦味草
IG_BlueBox,622,12	// 彩色红萝卜
IG_BlueBox,623,12	// 变态蚯蚓
IG_BlueBox,624,12	// 腐臭之鱼
IG_BlueBox,625,12	// 锈铁
IG_BlueBox,626,12	// 魔物饮料
IG_BlueBox,627,12	// 魔物牛奶
IG_BlueBox,628,12	// 营养大骨
IG_BlueBox,629,12	// 呢喃花
IG_BlueBox,630,12	// 青苔
IG_BlueBox,631,12	// 青嫩毒草
IG_BlueBox,632,12	// 营养蚯蚓
IG_BlueBox,633,12	// 魔物番薯
IG_BlueBox,634,12	// 魔物香蕉
IG_BlueBox,635,12	// 魔物之证
IG_BlueBox,636,12	// 魔物信件
IG_BlueBox,637,12	// 魔物扫把
IG_BlueBox,638,12	// 纯洁银刃
IG_BlueBox,639,12	// 驯服手镯
IG_BlueBox,640,12	// 闪烁之石
IG_BlueBox,641,12	// 黑暗合约书
IG_BlueBox,642,12	// 恶魔召唤书
IG_BlueBox,643,12	// 携带用孵蛋器
IG_BlueBox,644,312	// 礼物箱
IG_BlueBox,645,12	// 集中药水
IG_BlueBox,656,12	// 觉醒药水
IG_BlueBox,657,12	// 菠色克药水
IG_BlueBox,659,12	// 心爱女人之回忆
IG_BlueBox,663,12	// 年糕
IG_BlueBox,664,12	// 礼盒
IG_BlueBox,665,12	// 礼盒
IG_BlueBox,666,12	// 礼盒
IG_BlueBox,667,12	// 礼盒
IG_BlueBox,668,12	// 红包
IG_BlueBox,678,12	// 毒药瓶
IG_BlueBox,679,12	// 召还丹
IG_BlueBox,701,12	// 欧拉欧拉
IG_BlueBox,702,12	// 家畜血
IG_BlueBox,703,12	// 西纳雷花
IG_BlueBox,704,12	// 芦荟
IG_BlueBox,705,12	// 三叶幸运草
IG_BlueBox,706,12	// 四叶幸运草
IG_BlueBox,707,12	// 哀唱草
IG_BlueBox,708,12	// 曼特花
IG_BlueBox,710,12	// 幻想花
IG_BlueBox,711,12	// 芽苗
IG_BlueBox,712,12	// 花
IG_BlueBox,713,12	// 空瓶
IG_BlueBox,715,12	// 黄色魔力矿石
IG_BlueBox,716,12	// 红色魔力矿石
IG_BlueBox,717,12	// 蓝色魔力矿石
IG_BlueBox,718,12	// 深红宝石
IG_BlueBox,719,12	// 紫宝石
IG_BlueBox,720,12	// 天蓝宝石
IG_BlueBox,721,12	// 绿宝石
IG_BlueBox,722,12	// 珍珠
IG_BlueBox,723,12	// 红宝石
IG_BlueBox,724,12	// 诅咒红宝石
IG_BlueBox,725,12	// 大红宝石
IG_BlueBox,726,12	// 蓝宝石
IG_BlueBox,727,12	// 白宝石
IG_BlueBox,728,12	// 黄宝石
IG_BlueBox,729,12	// 青绿宝石
IG_BlueBox,730,12	// 1克拉钻石
IG_BlueBox,731,12	// 2克拉钻石
IG_BlueBox,732,12	// 3克拉钻石
IG_BlueBox,733,12	// 受损的钻石
IG_BlueBox,734,12	// 红色相框
IG_BlueBox,735,12	// 蓝色陶瓷器
IG_BlueBox,736,12	// 白色盘子
IG_BlueBox,737,12	// 黑色杓子
IG_BlueBox,738,12	// 笔筒
IG_BlueBox,739,12	// 化妆品
IG_BlueBox,740,12	// 疯兔娃娃
IG_BlueBox,741,12	// 波利娃娃
IG_BlueBox,742,12	// 苍蝇娃娃
IG_BlueBox,743,12	// 魔菇娃娃
IG_BlueBox,744,12	// 花束
IG_BlueBox,745,12	// 捧花
IG_BlueBox,746,12	// 玻璃珠
IG_BlueBox,747,12	// 水晶镜子
IG_BlueBox,748,12	// 永恒玫瑰
IG_BlueBox,749,12	// 冰雕玫瑰
IG_BlueBox,750,12	// 巴风特娃娃
IG_BlueBox,751,12	// 俄塞里斯娃娃
IG_BlueBox,752,12	// 摇滚蝗虫娃娃
IG_BlueBox,753,12	// 溜溜猴娃娃
IG_BlueBox,754,12	// 狸猫娃娃
IG_BlueBox,901,12	// 辫子
IG_BlueBox,902,12	// 树根
IG_BlueBox,903,12	// 爬虫类舌头
IG_BlueBox,904,12	// 蝎子尾巴
IG_BlueBox,905,12	// 植物梗
IG_BlueBox,906,12	// 鳞片梗
IG_BlueBox,907,12	// 枯木汁
IG_BlueBox,908,12	// 青蛙蛋
IG_BlueBox,909,12	// 杰勒比结晶
IG_BlueBox,910,12	// 加勒结晶
IG_BlueBox,911,12	// 雪勒结晶
IG_BlueBox,912,12	// 刹勒空结晶
IG_BlueBox,913,12	// 蝙蝠牙
IG_BlueBox,914,12	// 毛
IG_BlueBox,915,12	// 蛹壳
IG_BlueBox,916,12	// 羽毛
IG_BlueBox,917,12	// 鸟指甲
IG_BlueBox,918,12	// 粘糊的蹼
IG_BlueBox,919,12	// 动物外皮
IG_BlueBox,920,12	// 狼指甲
IG_BlueBox,921,12	// 香菇芽孢
IG_BlueBox,922,12	// 兽人犬齿
IG_BlueBox,923,12	// 恶魔角
IG_BlueBox,924,12	// 蝴蝶翅膀粉末
IG_BlueBox,925,12	// 鸟嘴
IG_BlueBox,926,12	// 蛇鳞
IG_BlueBox,928,12	// 昆虫触角
IG_BlueBox,929,12	// 不死心脏
IG_BlueBox,930,12	// 腐烂绷带
IG_BlueBox,931,12	// 兽人战士之证
IG_BlueBox,932,12	// 死人遗骨
IG_BlueBox,934,12	// 亡者遗物
IG_BlueBox,935,12	// 坚硬外壳
IG_BlueBox,936,12	// 鳞片皮肤
IG_BlueBox,937,12	// 毒牙
IG_BlueBox,938,12	// 粘稠液体
IG_BlueBox,939,12	// 蜂针
IG_BlueBox,940,12	// 蝗虫后腿
IG_BlueBox,941,12	// 牛鼻环
IG_BlueBox,942,12	// 猴子尾巴
IG_BlueBox,943,12	// 坚硬外皮
IG_BlueBox,944,12	// 马蹄
IG_BlueBox,945,12	// 变身叶子
IG_BlueBox,946,12	// 蜗牛壳
IG_BlueBox,947,12	// 硬角
IG_BlueBox,948,12	// 熊掌
IG_BlueBox,949,12	// 柔毛
IG_BlueBox,950,12	// 人鱼之心
IG_BlueBox,951,12	// 背鳍
IG_BlueBox,952,12	// 仙人掌刺
IG_BlueBox,953,12	// 石心
IG_BlueBox,954,12	// 发亮鳞片
IG_BlueBox,955,12	// 昆虫外壳
IG_BlueBox,956,12	// 鳃刺
IG_BlueBox,957,12	// 亡者指甲
IG_BlueBox,958,12	// 亡者牙齿
IG_BlueBox,959,12	// 腐烂鳞片
